subject,skill,diff,text,A,B,C,D,ans,explain,hint1,hint2,hint3
Toán 9,alg_poly,2,Khai triển: (9x + 1)² bằng,81x² - 18x + 1,9x² + 18x + 1,81x² + 9x + 1,81x² + 18x + 1,D,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,2,Khai triển: (5x + 2)² bằng,25x² - 20x + 4,25x² + 10x + 4,5x² + 20x + 4,25x² + 20x + 4,D,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,2,Khai triển: (4x + 3)² bằng,16x² + 12x + 9,16x² + 24x + 9,4x² + 24x + 9,16x² - 24x + 9,B,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,2,Khai triển: (8x + 4)² bằng,64x² + 64x + 16,64x² - 64x + 16,8x² + 64x + 16,64x² + 32x + 16,A,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,2,Khai triển: (7x + 8)² bằng,49x² + 56x + 64,7x² + 112x + 64,49x² + 112x + 64,49x² - 112x + 64,C,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,2,Khai triển: (7x + 1)² bằng,49x² - 14x + 1,49x² + 14x + 1,7x² + 14x + 1,49x² + 7x + 1,B,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,2,Khai triển: (2x + 4)² bằng,2x² + 16x + 16,4x² + 8x + 16,4x² - 16x + 16,4x² + 16x + 16,D,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,3,Khai triển: (5x + 5)² bằng,25x² + 25x + 25,5x² + 50x + 25,25x² + 50x + 25,25x² - 50x + 25,C,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,3,Khai triển: (9x + 4)² bằng,9x² + 72x + 16,81x² + 72x + 16,81x² + 36x + 16,81x² - 72x + 16,B,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,3,Khai triển: (8x + 6)² bằng,64x² + 96x + 36,8x² + 96x + 36,64x² + 48x + 36,64x² - 96x + 36,A,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,3,Khai triển: (2x + 2)² bằng,4x² - 8x + 4,2x² + 8x + 4,4x² + 4x + 4,4x² + 8x + 4,D,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,3,Khai triển: (3x + 4)² bằng,3x² + 24x + 16,9x² - 24x + 16,9x² + 24x + 16,9x² + 12x + 16,C,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_poly,3,Khai triển: (4x + 5)² bằng,16x² + 20x + 25,4x² + 40x + 25,16x² + 40x + 25,16x² - 40x + 25,C,(ax+b)² = a²x² + 2abx + b².,Dùng hằng đẳng thức (u+v)².,"u=ax, v=b.",Tính 2uv.
Toán 9,alg_linear_eq,1,Giải phương trình: 3x + (24) = 0,-7,-9,-6,-8,D,3x = -24 ⇒ x = -24/3 = -8.,Chuyển hằng số sang vế phải.,Chia cả hai vế cho hệ số của x.,Kiểm tra lại bằng thế vào phương trình.
Toán 9,alg_linear_eq,1,Giải phương trình: 9x + (-54) = 0,5,6,8,7,B,9x = 54 ⇒ x = 54/9 = 6.,Chuyển hằng số sang vế phải.,Chia cả hai vế cho hệ số của x.,Kiểm tra lại bằng thế vào phương trình.
Toán 9,alg_linear_eq,1,Giải phương trình: 2x + (-6) = 0,3,5,4,2,A,2x = 6 ⇒ x = 6/2 = 3.,Chuyển hằng số sang vế phải.,Chia cả hai vế cho hệ số của x.,Kiểm tra lại bằng thế vào phương trình.
Toán 9,alg_linear_eq,1,Giải phương trình: 9x + (45) = 0,-6,-5,-3,-4,B,9x = -45 ⇒ x = -45/9 = -5.,Chuyển hằng số sang vế phải.,Chia cả hai vế cho hệ số của x.,Kiểm tra lại bằng thế vào phương trình.
Toán 9,alg_linear_eq,1,Giải phương trình: 2x + (-2) = 0,0,2,3,1,D,2x = 2 ⇒ x = 2/2 = 1.,Chuyển hằng số sang vế phải.,Chia cả hai vế cho hệ số của x.,Kiểm tra lại bằng thế vào phương trình.
Toán 9,alg_linear_eq,1,Giải phương trình: 4x + (32) = 0,-7,-9,-6,-8,D,4x = -32 ⇒ x = -32/4 = -8.,Chuyển hằng số sang vế phải.,Chia cả hai vế cho hệ số của x.,Kiểm tra lại bằng thế vào phương trình.
Toán 9,alg_linear_eq,1,Giải phương trình: 5x + (-15) = 0,4,5,2,3,D,5x = 15 ⇒ x = 15/5 = 3.,Chuyển hằng số sang vế phải.,Chia cả hai vế cho hệ số của x.,Kiểm tra lại bằng thế vào phương trình.
Toán 9,alg_linear_eq,2,Giải phương trình: 2x + 9 = -1,-5,-4,-6,5,A,2x = -1-9 = -10 ⇒ x = -5.,Đưa {b} sang vế phải: {a}x = {c}-{b}.,Tính vế phải.,Chia cho {a}.
Toán 9,alg_linear_eq,2,Giải phương trình: 5x + 0 = -15,3,-3,-2,-4,B,5x = -15-0 = -15 ⇒ x = -3.,Đưa {b} sang vế phải: {a}x = {c}-{b}.,Tính vế phải.,Chia cho {a}.
Toán 9,alg_linear_eq,2,Giải phương trình: 6x + 4 = -2,-2,0,1,-1,D,6x = -2-4 = -6 ⇒ x = -1.,Đưa {b} sang vế phải: {a}x = {c}-{b}.,Tính vế phải.,Chia cho {a}.
Toán 9,alg_linear_eq,2,Giải phương trình: 3x + -8 = -2,2,-2,1,3,A,3x = -2--8 = 6 ⇒ x = 2.,Đưa {b} sang vế phải: {a}x = {c}-{b}.,Tính vế phải.,Chia cho {a}.
Toán 9,alg_linear_eq,2,Giải phương trình: 7x + -8 = -29,3,-3,-2,-4,B,7x = -29--8 = -21 ⇒ x = -3.,Đưa {b} sang vế phải: {a}x = {c}-{b}.,Tính vế phải.,Chia cho {a}.
Toán 9,alg_linear_eq,2,Giải phương trình: 6x + 9 = 45,-6,7,5,6,D,6x = 45-9 = 36 ⇒ x = 6.,Đưa {b} sang vế phải: {a}x = {c}-{b}.,Tính vế phải.,Chia cho {a}.
Toán 9,alg_linear_eq,2,Giải phương trình: 3x + -6 = -12,-1,-3,2,-2,D,3x = -12--6 = -6 ⇒ x = -2.,Đưa {b} sang vế phải: {a}x = {c}-{b}.,Tính vế phải.,Chia cho {a}.
Toán 9,alg_linear_eq,3,Giải phương trình: 6(x + -2) = 3x + -12,0,1,-1,-1,A,Khai triển: 6x + -12 = 3x + -12 ⇒ 3x = 0 ⇒ x = 0.,Khai triển vế trái: a(x+b)=ax+ab.,Chuyển các hạng tử chứa x về một vế.,Chia cho hệ số của x.
Toán 9,alg_linear_eq,3,Giải phương trình: 2(x + 5) = 2x + 10,6,-6,5,4,C,Khai triển: 2x + 10 = 2x + 10 ⇒ 0x = 0 ⇒ x = 5.,Khai triển vế trái: a(x+b)=ax+ab.,Chuyển các hạng tử chứa x về một vế.,Chia cho hệ số của x.
Toán 9,alg_linear_eq,3,Giải phương trình: 3(x + 6) = 4x + 21,-2,-3,-4,2,B,Khai triển: 3x + 18 = 4x + 21 ⇒ -1x = 3 ⇒ x = -3.,Khai triển vế trái: a(x+b)=ax+ab.,Chuyển các hạng tử chứa x về một vế.,Chia cho hệ số của x.
Toán 9,alg_linear_eq,3,Giải phương trình: 3(x + 3) = 6x + 24,-6,-5,4,-4,B,Khai triển: 3x + 9 = 6x + 24 ⇒ -3x = 15 ⇒ x = -5.,Khai triển vế trái: a(x+b)=ax+ab.,Chuyển các hạng tử chứa x về một vế.,Chia cho hệ số của x.
Toán 9,alg_linear_eq,3,Giải phương trình: 4(x + -2) = 2x + -8,-1,0,-1,1,B,Khai triển: 4x + -8 = 2x + -8 ⇒ 2x = 0 ⇒ x = 0.,Khai triển vế trái: a(x+b)=ax+ab.,Chuyển các hạng tử chứa x về một vế.,Chia cho hệ số của x.
Toán 9,alg_linear_eq,3,Giải phương trình: 6(x + -4) = 5x + -20,-5,3,4,5,C,Khai triển: 6x + -24 = 5x + -20 ⇒ 1x = 4 ⇒ x = 4.,Khai triển vế trái: a(x+b)=ax+ab.,Chuyển các hạng tử chứa x về một vế.,Chia cho hệ số của x.
Toán 9,alg_inequality,1,Giải bất phương trình: 2x + 0 < -6,x > -3,x < -3,x ≤ -3,x ≥ -3,B,2x < -6-0 = -6 ⇒ x < -3.,Chuyển hằng số sang vế phải.,Chia hai vế cho số dương thì chiều không đổi.,Viết tập nghiệm theo dạng bất đẳng thức.
Toán 9,alg_inequality,1,Giải bất phương trình: 3x + -9 < -6,x > 1,x ≤ 1,x < 1,x ≥ 1,C,3x < -6--9 = 3 ⇒ x < 1.,Chuyển hằng số sang vế phải.,Chia hai vế cho số dương thì chiều không đổi.,Viết tập nghiệm theo dạng bất đẳng thức.
Toán 9,alg_inequality,1,Giải bất phương trình: 9x + -1 < -1,x ≥ 0,x ≤ 0,x < 0,x > 0,C,9x < -1--1 = 0 ⇒ x < 0.,Chuyển hằng số sang vế phải.,Chia hai vế cho số dương thì chiều không đổi.,Viết tập nghiệm theo dạng bất đẳng thức.
Toán 9,alg_inequality,1,Giải bất phương trình: 8x + -2 < -2,x ≥ 0,x ≤ 0,x > 0,x < 0,D,8x < -2--2 = 0 ⇒ x < 0.,Chuyển hằng số sang vế phải.,Chia hai vế cho số dương thì chiều không đổi.,Viết tập nghiệm theo dạng bất đẳng thức.
Toán 9,alg_inequality,1,Giải bất phương trình: 8x + 7 < 47,x > 5,x ≥ 5,x < 5,x ≤ 5,C,8x < 47-7 = 40 ⇒ x < 5.,Chuyển hằng số sang vế phải.,Chia hai vế cho số dương thì chiều không đổi.,Viết tập nghiệm theo dạng bất đẳng thức.
Toán 9,alg_inequality,1,Giải bất phương trình: 6x + 8 < -10,x > -3,x ≥ -3,x < -3,x ≤ -3,C,6x < -10-8 = -18 ⇒ x < -3.,Chuyển hằng số sang vế phải.,Chia hai vế cho số dương thì chiều không đổi.,Viết tập nghiệm theo dạng bất đẳng thức.
Toán 9,alg_inequality,1,Giải bất phương trình: 7x + 0 < 42,x > 6,x < 6,x ≤ 6,x ≥ 6,B,7x < 42-0 = 42 ⇒ x < 6.,Chuyển hằng số sang vế phải.,Chia hai vế cho số dương thì chiều không đổi.,Viết tập nghiệm theo dạng bất đẳng thức.
Toán 9,alg_inequality,2,Giải bất phương trình: 5x - -1 ≥ -31,x ≤ -6,x > -6,x ≥ -6,x < -6,C,5x ≥ -31+-1 = -30 ⇒ x ≥ -6.,Đưa -b sang vế phải: ax ≥ c + b.,Tính c + b.,Chia hai vế cho a > 0.
Toán 9,alg_inequality,2,Giải bất phương trình: 3x - 1 ≥ 10,x ≤ 3,x ≥ 3,x < 3,x > 3,B,3x ≥ 10+1 = 9 ⇒ x ≥ 3.,Đưa -b sang vế phải: ax ≥ c + b.,Tính c + b.,Chia hai vế cho a > 0.
Toán 9,alg_inequality,2,Giải bất phương trình: 6x - 7 ≥ -5,x ≥ -2,x > -2,x ≤ -2,x < -2,A,6x ≥ -5+7 = -12 ⇒ x ≥ -2.,Đưa -b sang vế phải: ax ≥ c + b.,Tính c + b.,Chia hai vế cho a > 0.
Toán 9,alg_inequality,2,Giải bất phương trình: 4x - -3 ≥ -3,x ≤ 0,x ≥ 0,x > 0,x < 0,B,4x ≥ -3+-3 = 0 ⇒ x ≥ 0.,Đưa -b sang vế phải: ax ≥ c + b.,Tính c + b.,Chia hai vế cho a > 0.
Toán 9,alg_inequality,2,Giải bất phương trình: 6x - 3 ≥ 15,x < 2,x > 2,x ≤ 2,x ≥ 2,D,6x ≥ 15+3 = 12 ⇒ x ≥ 2.,Đưa -b sang vế phải: ax ≥ c + b.,Tính c + b.,Chia hai vế cho a > 0.
Toán 9,alg_inequality,2,Giải bất phương trình: 7x - 5 ≥ 12,x ≤ 1,x ≥ 1,x > 1,x < 1,B,7x ≥ 12+5 = 7 ⇒ x ≥ 1.,Đưa -b sang vế phải: ax ≥ c + b.,Tính c + b.,Chia hai vế cho a > 0.
Toán 9,alg_inequality,2,Giải bất phương trình: 4x - -7 ≥ -15,x ≤ -2,x < -2,x ≥ -2,x > -2,C,4x ≥ -15+-7 = -8 ⇒ x ≥ -2.,Đưa -b sang vế phải: ax ≥ c + b.,Tính c + b.,Chia hai vế cho a > 0.
Toán 9,alg_inequality,3,Giải bất phương trình: -3x + -5 > -2,x > -1,x ≤ -1,x ≥ -1,x < -1,D,-3x > -2--5 = 3. Chia cho -3 (<0) nên đổi chiều ⇒ x < -1.,Chuyển b sang vế phải: ax > c-b.,Nhận xét a < 0 nên khi chia phải đổi chiều.,Kết luận nghiệm dạng x < ...
Toán 9,alg_inequality,3,Giải bất phương trình: -6x + 5 > 23,x > -3,x < -3,x ≤ -3,x ≥ -3,B,-6x > 23-5 = 18. Chia cho -6 (<0) nên đổi chiều ⇒ x < -3.,Chuyển b sang vế phải: ax > c-b.,Nhận xét a < 0 nên khi chia phải đổi chiều.,Kết luận nghiệm dạng x < ...
Toán 9,alg_inequality,3,Giải bất phương trình: -5x + 3 > -12,x ≥ 3,x ≤ 3,x < 3,x > 3,C,-5x > -12-3 = -15. Chia cho -5 (<0) nên đổi chiều ⇒ x < 3.,Chuyển b sang vế phải: ax > c-b.,Nhận xét a < 0 nên khi chia phải đổi chiều.,Kết luận nghiệm dạng x < ...
Toán 9,alg_inequality,3,Giải bất phương trình: -2x + -2 > -6,x < 2,x ≥ 2,x ≤ 2,x > 2,A,-2x > -6--2 = -4. Chia cho -2 (<0) nên đổi chiều ⇒ x < 2.,Chuyển b sang vế phải: ax > c-b.,Nhận xét a < 0 nên khi chia phải đổi chiều.,Kết luận nghiệm dạng x < ...
Toán 9,alg_inequality,3,Giải bất phương trình: -3x + 5 > 14,x < -3,x ≤ -3,x ≥ -3,x > -3,A,-3x > 14-5 = 9. Chia cho -3 (<0) nên đổi chiều ⇒ x < -3.,Chuyển b sang vế phải: ax > c-b.,Nhận xét a < 0 nên khi chia phải đổi chiều.,Kết luận nghiệm dạng x < ...
Toán 9,alg_inequality,3,Giải bất phương trình: -5x + 7 > -18,x < 5,x > 5,x ≤ 5,x ≥ 5,A,-5x > -18-7 = -25. Chia cho -5 (<0) nên đổi chiều ⇒ x < 5.,Chuyển b sang vế phải: ax > c-b.,Nhận xét a < 0 nên khi chia phải đổi chiều.,Kết luận nghiệm dạng x < ...
Toán 9,alg_system,1,Giải hệ: { 3x + 2y = 15;  3x + 5y = 24 }. Giá trị x bằng,3,3,4,2,A,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,1,Giải hệ: { 2x + 3y = -6;  3x + 3y = -9 }. Giá trị x bằng,0,-2,-4,-3,D,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,1,Giải hệ: { 1x + 4y = -6;  4x + 3y = -11 }. Giá trị x bằng,-1,-2,-1,-3,B,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,1,Giải hệ: { 5x + 1y = 12;  5x + 4y = 18 }. Giá trị x bằng,3,2,2,1,B,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,1,Giải hệ: { 5x + 5y = 20;  5x + 2y = 14 }. Giá trị x bằng,3,2,2,1,B,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,1,Giải hệ: { 3x + 4y = -4;  2x + 4y = 0 }. Giá trị x bằng,-5,-4,-3,2,B,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,1,Giải hệ: { 1x + 1y = 10;  4x + 2y = 30 }. Giá trị x bằng,5,6,5,4,A,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,2,Giải hệ: { 4x + 3y = 1;  3x + 4y = -1 }. Giá trị x bằng,1,0,-1,2,A,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,2,Giải hệ: { 5x + 1y = 11;  3x + 2y = 1 }. Giá trị x bằng,-4,2,4,3,D,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,2,Giải hệ: { 1x + 5y = -6;  2x + 2y = -4 }. Giá trị x bằng,0,-1,-2,-1,B,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,2,Giải hệ: { 3x + 3y = 6;  2x + 5y = 13 }. Giá trị x bằng,0,3,-2,-1,D,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,2,Giải hệ: { 5x + 4y = -20;  4x + 2y = -16 }. Giá trị x bằng,0,-5,-3,-4,D,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,2,Giải hệ: { 5x + 1y = 6;  5x + 1y = 6 }. Giá trị x bằng,0,6,-1,1,A,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,2,Giải hệ: { 3x + 1y = -5;  4x + 4y = 4 }. Giá trị x bằng,-4,-2,4,-3,D,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,3,Giải hệ: { 4x + 2y = 8;  5x + 3y = 9 }. Giá trị x bằng,3,4,-2,2,A,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,3,Giải hệ: { 3x + 2y = 15;  1x + 3y = 5 }. Giá trị x bằng,6,0,5,4,C,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,3,Giải hệ: { 3x + 1y = 20;  4x + 3y = 30 }. Giá trị x bằng,7,6,5,2,B,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,3,Giải hệ: { 3x + 5y = 5;  3x + 5y = 5 }. Giá trị x bằng,1,-1,1,0,D,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
Toán 9,alg_system,3,Giải hệ: { 5x + 2y = 16;  4x + 4y = 20 }. Giá trị x bằng,3,3,2,1,C,"Thế/ cộng đại số để tìm x,y. (Hệ được tạo sao cho nghiệm nguyên).",Dùng phương pháp cộng đại số để khử y hoặc x.,Giải phương trình 1 ẩn thu được.,Thế lại để kiểm tra.
